Name,Team,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,PlayerId
"Tim Brennan","Rangers (A)",22,2,1,2.511627628456423,5,5,1,0,0,0,,28.2,104,19,9,8,1,2,0,0,0,1,18,"sa3008630"
"Andres Santiago","Braves (AAA)",29,1,2,5.625,8,4,0,0,0,0,,24,106,26,16,15,3,15,0,1,2,0,16,"sa389212"
"David Holman","Rockies (AAA)",29,0,2,10.8,6,4,0,0,0,0,,20,106,33,25,24,3,10,0,2,4,0,10,"sa503702"
"Phillips Valdez","Texas (AAA)",27,0,3,3.6,6,5,0,0,0,0,,25,114,26,18,10,3,6,0,3,1,0,18,"sa506127"
"Nelson Gonzalez","Rockies (AAA)",29,1,0,5.85,8,2,0,0,0,0,,20,90,19,13,13,5,14,0,0,5,0,12,"sa506311"
"Enderson Franco","Giants (AAA)",26,1,0,6.48,6,6,0,0,0,0,,25,116,29,21,18,5,11,0,0,3,0,19,"sa547840"
"Evan Grills","Rockies (AAA)",27,1,3,7.2537323757758605,5,3,0,0,0,0,,22.1,101,30,19,18,1,8,0,1,2,0,10,"sa548475"
"Ben Holmes","Dodgers (AAA)",27,0,4,6.75,6,6,0,0,0,0,,24,109,27,20,18,4,11,0,1,1,0,33,"sa549147"
"Forrest Snow","Angels (AAA)",30,0,3,6.670588983714046,6,5,0,0,0,0,,28.1,136,40,26,21,7,11,0,1,1,0,29,"sa549462"
"Chase Johnson","- - -",27,1,2,7.2,10,0,0,0,0,0,,20,95,23,19,16,1,13,1,0,5,0,25,"sa549740"
"Carlos Navas","Giants (AAA)",26,0,3,4.5,10,1,0,0,0,0,,24,96,19,12,12,5,8,0,1,0,0,22,"sa550615"
"Johendi Jiminian","Reds (AA)",26,1,1,3.9193542358407303,7,2,0,0,0,0,,20.2,94,21,12,9,1,9,0,1,1,0,11,"sa550714"
"Derek Self","Nationals (AAA)",29,1,0,2.7,11,0,0,0,2,0,,20,76,12,6,6,4,2,0,2,0,0,17,"sa577722"
"Nick Ramirez","- - -",29,1,1,2.314286029582164,5,5,0,0,0,0,,23.1,98,23,9,6,2,5,0,1,0,0,30,"sa577807"
"Luis Lugo","Cubs (A+)",25,1,1,3.375,6,3,0,0,0,0,,24,102,24,10,9,2,9,0,1,1,0,24,"sa597249"
"Richelson Pena","Texas (AAA)",25,1,4,7.438774351972564,6,6,0,0,0,0,,32.2,142,35,31,27,8,10,0,1,0,1,26,"sa597847"
"Tanner Chleborad","- - -",26,0,2,4.42623020019378,9,0,0,0,0,1,,20.1,91,21,13,10,2,8,0,1,2,0,21,"sa599273"
"Chris Mazza","- - -",29,0,2,3.2837833605865066,4,4,0,0,0,0,,24.2,100,20,11,9,1,7,0,3,1,0,15,"sa599371"
"Cy Sneed","Astros (AAA)",26,0,4,6.260869565217392,6,2,0,0,0,0,,23,102,25,18,16,4,7,0,3,0,0,21,"sa599742"
"Chandler Shepherd","Red Sox (AAA)",26,0,4,10.074628299688696,6,6,0,0,0,0,,22.1,124,41,35,25,6,13,0,4,1,0,23,"sa602595"
"Jordan Johnson","Reds (AA)",25,0,3,7.985914420287116,6,6,0,0,0,0,,23.2,116,20,24,21,2,21,0,2,5,0,24,"sa602658"
"Wes Benjamin","Texas (AAA)",25,1,4,10.799998415433675,6,6,0,0,0,0,,21.2,111,35,31,26,4,13,0,2,0,0,19,"sa602914"
"Tyler Mapes","Nationals (AA)",27,2,2,5.275862068965517,6,6,0,0,0,0,,29,132,33,18,17,3,13,1,0,2,0,30,"sa603121"
"Nabil Crismatt","- - -",24,0,2,7.2,5,5,0,0,0,0,,25,116,30,22,20,3,9,0,1,5,0,28,"sa657397"
"Eduardo Vera","Pirates (AAA)",24,0,3,6.096774193548387,6,6,0,0,0,0,,31,140,39,22,21,4,11,0,2,1,0,25,"sa657658"
"Jesus Castillo","Angels (AA)",23,1,4,5.288660625758319,7,5,0,0,0,0,,32.1,141,32,21,19,2,11,0,4,2,0,29,"sa657701"
"Harold Arauz","- - -",24,2,2,7.8,6,5,0,0,0,0,,30,141,45,28,26,7,11,0,0,2,0,15,"sa657710"
"Walker Weickel","Rangers (AA)",25,2,0,1.2089553959626433,9,1,0,0,0,0,,22.1,92,12,3,3,1,10,0,0,2,0,22,"sa657871"
"Marcos Molina","Orioles (AA)",24,1,4,4.6836727401308735,6,6,0,0,0,0,,32.2,140,35,18,17,5,13,0,0,2,0,26,"sa657917"
"Ryan Kellogg","Cubs (A+)",25,1,1,2.4179107919252867,8,1,0,0,0,0,,22.1,90,24,7,6,1,2,0,2,2,0,16,"sa658192"
"Jordan Guerrero","White Sox (AAA)",25,1,4,8.307693178333365,7,7,0,0,0,0,,30.1,164,57,29,28,5,16,0,2,3,0,37,"sa658262"
"Luc Rennie","Mets (A+)",25,2,2,5.704224585919369,5,5,0,0,0,0,,23.2,103,29,15,15,4,10,0,1,1,0,13,"sa658278"
"Andrew Sopko","Blue Jays (AA)",24,2,2,2.336538118723632,6,6,0,0,0,0,,34.2,134,23,9,9,3,8,0,0,3,0,26,"sa658286"
"Michael Peoples","Indians (AAA)",27,3,0,3.2400004943848413,6,4,0,0,0,0,,33.1,139,33,12,12,3,10,0,2,0,1,29,"sa658314"
"Tejay Antone","Reds (AA)",25,3,2,3.375,6,6,0,0,0,0,,32,139,26,18,12,3,13,1,4,2,0,28,"sa658534"
"Ashton Goudeau","Rockies (AA)",26,2,1,1.8712868460042449,6,6,0,0,0,0,,33.2,127,25,8,7,2,5,0,1,2,1,38,"sa658634"
"Cody Poteet","Marlins (AA)",24,2,3,4,5,5,0,0,0,0,,27,115,32,14,12,2,8,0,1,1,0,15,"sa658640"
"Cole Irvin","Phillies (AAA)",25,2,0,2.25,6,6,0,0,0,0,,36,149,36,12,9,4,8,0,1,0,0,23,"sa658684"
"Justin Garza","Indians (A+)",25,3,3,6.148513922585376,7,7,0,0,0,0,,33.2,147,36,23,23,6,16,0,2,5,0,32,"sa658782"
"Alex Young","Diamondbacks (AAA)",25,2,0,6.545454545454546,12,0,0,0,0,0,,22,111,26,17,16,3,17,2,0,3,0,25,"sa658917"
"Pedro Payano","Rangers (AA)",24,3,0,4.101266317882576,5,5,0,0,0,0,,26.1,106,17,12,12,3,13,0,2,4,0,33,"sa658997"
"James Marvel","Pirates (AA)",25,3,3,3.073170731707317,7,7,1,1,0,0,,41,169,37,14,14,2,6,1,4,0,0,31,"sa659052"
"Jacob Waguespack","Blue Jays (AAA)",25,2,4,5.603774391573692,7,7,0,0,0,0,,35.1,161,42,23,22,5,16,0,1,2,1,40,"sa659056"
"Justin Dillon","Blue Jays (A+)",25,2,0,4.21875,6,6,0,0,0,0,,32,132,29,16,15,4,5,0,5,2,0,28,"sa659283"
"Shao-Ching Chiang","Indians (AAA)",25,0,3,7.03125,6,6,0,0,0,0,,32,156,40,30,25,7,14,0,6,3,2,28,"sa659598"
"Francisco Jimenez","- - -",24,2,0,1.44,9,0,0,0,1,0,,25,95,14,4,4,3,9,0,0,0,0,19,"sa659658"
"Sam Lewis","Diamondbacks (AA)",27,1,3,3.103448275862069,6,6,0,0,0,0,,29,119,21,13,10,1,14,0,3,2,0,29,"sa701852"
"Jake Kalish","- - -",27,1,2,3.272727272727273,7,1,0,0,2,1,,22,92,20,11,8,1,4,0,1,0,0,27,"sa709032"
"Jose Lopez","Reds (AAA)",25,2,2,5.275862068965517,6,6,1,0,0,0,,29,132,34,17,17,9,13,0,3,0,1,28,"sa709715"
"Edgar Arredondo","Rangers (AA)",22,3,1,5.76,5,5,0,0,0,0,,25,111,29,16,16,2,10,0,3,2,0,19,"sa732750"
"Emmanuel Ramirez","Padres (AA)",24,1,4,6,7,4,0,0,1,0,,24,103,19,17,16,3,11,0,3,4,0,24,"sa736752"
"Emilio Vargas","Diamondbacks (AA)",22,1,0,5.082353511401178,6,6,0,0,0,0,,28.1,115,28,16,16,2,3,0,4,2,0,26,"sa736761"
