"Name","Team","Age","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Will Benson","Indians (A)","20","123","416","506","75","41","11","1","22","54","58","82","2","152","7","1","0","4","12","6",".180","sa917927"
"Eduardo Navas","Yankees (A)","22","54","172","195","31","25","4","0","2","19","14","12","0","51","6","1","4","7","0","0",".180","sa828438"
"Junior Guerrero","Rockies (R)","17","43","150","161","27","20","5","2","0","13","10","8","0","38","2","0","1","1","2","6",".180","sa3005615"
"Albert Avila","Athletics (R)","17","47","139","162","25","19","5","1","0","10","15","16","0","42","1","4","2","3","6","5",".180","sa3006204"
"Edwin Lora","Nationals (A+)","22","64","178","206","32","22","10","0","0","20","15","13","0","68","6","2","7","3","4","1",".180","sa737245"
"Davis Tavarez","- - -","19","34","117","123","21","18","2","1","0","7","2","4","0","25","2","0","0","5","0","1",".179","sa3004271"
"Christopher De La Cruz","Nationals (R)","17","49","145","175","26","23","1","2","0","29","12","23","0","23","3","1","3","2","4","2",".179","sa3005777"
"Kennard McDowell","Rockies (A-)","24","37","134","146","24","15","7","1","1","18","11","10","0","42","0","1","1","2","0","2",".179","sa3005236"
"Matt Whatley","- - -","22","52","162","183","29","19","5","2","3","14","14","14","0","55","4","2","1","1","1","1",".179","sa915868"
"Michael Hernandez","- - -","23","76","257","281","46","30","11","0","5","26","27","15","0","114","5","2","2","5","0","1",".179","sa873626"
"Tyler Benson","- - -","22","40","112","135","20","12","6","2","0","16","16","17","0","37","4","1","1","3","8","0",".179","sa3004398"
"Andrew Turner","- - -","22","36","112","134","20","12","7","0","1","17","7","14","0","26","7","0","1","4","1","3",".179","sa3007032"
"Kellin Deglan","- - -","26","36","112","125","20","12","6","0","2","8","14","9","0","37","3","0","1","3","0","0",".179","sa548189"
"Kevon Jackson","Royals (R)","18","38","101","123","18","14","1","3","0","14","7","20","0","47","2","0","0","3","7","3",".178","sa3007317"
"Richie Shaffer","- - -","27","66","219","242","39","17","11","1","10","23","26","21","0","86","1","1","0","7","0","0",".178","13271"
"Gabriel Quintana","- - -","25","39","152","164","27","19","4","0","4","18","14","8","0","59","4","0","0","1","0","0",".178","sa548052"
"Ryan Schimpf","Angels (AAA)","30","30","107","125","19","8","6","2","3","14","13","16","0","49","1","1","0","1","1","1",".178","9953"
"Albert Jerez","Phillies (R)","17","35","107","122","19","19","0","0","0","7","8","10","0","25","0","3","2","1","3","2",".178","sa3008378"
"Billy Cooke","- - -","22","103","327","390","58","47","9","1","1","31","17","38","0","113","15","6","4","5","15","7",".177","sa3003963"
"Andrew Ely","- - -","25","67","198","248","35","25","5","4","1","30","18","40","0","50","6","2","2","1","0","2",".177","sa829591"
"Junior Perez","Padres (R)","16","61","204","263","36","25","6","2","3","26","26","53","0","80","4","2","0","1","12","5",".176","sa3005744"
"Andres Sthormes","Tigers (A+)","21","48","153","165","27","23","3","1","0","18","11","6","0","39","4","0","2","0","1","0",".176","sa736554"
"Rigoberto Terrazas","Mets (A)","22","85","295","327","52","44","7","1","0","21","20","30","0","58","0","1","1","11","0","0",".176","sa827958"
"Andres Rosario","White Sox (R)","19","59","193","217","34","28","2","1","3","28","12","21","0","85","2","1","0","4","3","1",".176","sa3005791"
"Kenny Hernandez","Mets (R)","19","56","193","232","34","26","6","1","1","30","15","34","0","59","2","3","0","6","2","1",".176","sa872522"
"Eliam Arias","Mets (R)","17","39","131","156","23","17","6","0","0","12","16","18","0","40","4","1","2","2","6","2",".176","sa3006211"
"Starlin Paulino","Yankees (R)","18","38","114","132","20","13","6","0","1","16","8","12","0","27","6","0","0","2","1","0",".175","sa3003431"
"Ernesto Adames","Tigers (R)","18","47","154","170","27","18","8","0","1","15","8","12","0","59","2","0","1","3","0","4",".175","sa3003309"
"Kevin Aponte","- - -","20","32","97","121","17","15","1","1","0","17","7","18","0","44","4","2","0","0","9","1",".175","sa917330"
"Jesus Lage","- - -","20","52","160","183","28","21","4","0","3","18","17","17","0","58","2","1","3","0","2","1",".175","sa872494"
"Jordan Scott","Yankees (R)","21","45","143","177","25","14","6","1","4","21","16","29","0","65","3","1","1","1","4","1",".175","sa918325"
"Samy Apolinar","Angels (R)","20","55","172","208","30","21","6","2","1","20","9","35","0","53","0","1","0","1","6","3",".174","sa3005474"
"Darwin Alvarado","- - -","19","61","195","225","34","27","5","2","0","15","22","22","0","59","3","5","0","1","3","2",".174","sa917013"
"Jarrod Saltalamacchia","Tigers (AAA)","33","67","218","253","38","25","7","1","5","21","28","33","0","81","1","1","0","5","1","1",".174","5557"
"Juan Mata","Rays (R)","16","37","132","144","23","20","3","0","0","21","11","10","0","26","2","0","0","4","10","2",".174","sa3005943"
"Bubba Hollins","- - -","22","57","178","208","31","23","6","0","2","13","17","22","0","35","6","1","1","6","1","3",".174","sa829697"
"Imeldo Diaz","Cardinals (A-)","20","41","138","144","24","19","4","0","1","9","3","2","0","14","2","0","2","5","0","0",".174","sa872851"
"Aiverson Palacios","Reds (R)","18","35","98","125","17","15","0","2","0","16","5","18","0","50","4","1","4","0","10","2",".173","sa3003398"
"Kelvin Alarcon","Padres (A-)","19","52","173","190","30","23","5","2","0","22","13","14","0","53","1","1","1","2","2","2",".173","sa917142"
"Jeff Arnold","- - -","30","69","202","235","35","24","8","0","3","19","21","25","0","90","1","1","6","4","0","0",".173","sa549361"
"Ulysses Cantu","Indians (A)","20","69","237","267","41","21","12","0","8","27","20","24","1","78","5","0","1","11","0","0",".173","sa918089"
"Nate Nolan","White Sox (A+)","23","50","162","179","28","17","7","1","3","16","20","16","0","78","1","0","0","2","0","0",".173","sa918101"
"Ramfis Berroa","- - -","22","36","116","127","20","14","5","0","1","6","10","6","0","46","3","2","0","1","3","4",".172","sa872853"
"Junior Marte","Astros (R)","18","42","128","146","22","16","6","0","0","12","6","17","0","37","0","0","1","4","8","5",".172","sa3005899"
"Yeuris Ramirez","Astros (R)","19","39","128","150","22","12","4","3","3","13","18","13","1","42","6","2","1","4","4","2",".172","sa917291"
